ano,classe_nivel_1_en,classe_nivel_1,grupo_uso,area_ha,pais,escopo_geografico,nivel_classe,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_data_processamento,_periodo_integracao
2008,3. Farming,3. Agropecuária,Agropecuária,241942476.43,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2008,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5063376.65,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2008,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18854929.32,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2008,6. Not Observed,6. Não Observado,Não Observado,4087.25,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,1. Forest,1. Floresta,Vegetação Nativa,534145201.62,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49748834.64,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,3. Farming,3. Agropecuária,Agropecuária,243211033.28,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5129339.18,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18445252.56,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2009,6. Not Observed,6. Não Observado,Não Observado,4947.43,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,1. Forest,1. Floresta,Vegetação Nativa,533346940.42,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49701830.66,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,3. Farming,3. Agropecuária,Agropecuária,244305883.21,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5165460.67,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18159809.88,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2010,6. Not Observed,6. Não Observado,Não Observado,4683.87,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,1. Forest,1. Floresta,Vegetação Nativa,532385357.4,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48822036.99,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,3. Farming,3. Agropecuária,Agropecuária,245463933.75,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5204846.43,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18803439.08,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2011,6. Not Observed,6. Não Observado,Não Observado,4995.06,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,1. Forest,1. Floresta,Vegetação Nativa,531022755.15,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49348158.37,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,3. Farming,3. Agropecuária,Agropecuária,247043034.92,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5288481.76,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17977172.88,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2012,6. Not Observed,6. Não Observado,Não Observado,5005.64,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,1. Forest,1. Floresta,Vegetação Nativa,529313742.3,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,49091560.29,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,3. Farming,3. Agropecuária,Agropecuária,249084138.6,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5412878.3,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17777297.34,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2013,6. Not Observed,6. Não Observado,Não Observado,4991.89,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,1. Forest,1. Floresta,Vegetação Nativa,527796039.31,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48312958.54,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,3. Farming,3. Agropecuária,Agropecuária,250733344.01,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5519908.96,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,18317661.98,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2014,6. Not Observed,6. Não Observado,Não Observado,4695.91,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,1. Forest,1. Floresta,Vegetação Nativa,526189379.27,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48842210.02,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,3. Farming,3. Agropecuária,Agropecuária,252551560.4,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5617480.78,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17479405.1,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2015,6. Not Observed,6. Não Observado,Não Observado,4573.14,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,1. Forest,1. Floresta,Vegetação Nativa,523682627.11,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48464365.02,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,3. Farming,3. Agropecuária,Agropecuária,255258621.45,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5780743.53,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17493749.25,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2017,6. Not Observed,6. Não Observado,Não Observado,4502.35,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,1. Forest,1. Floresta,Vegetação Nativa,524748443.04,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48957578.09,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,3. Farming,3. Agropecuária,Agropecuária,254028581.93,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5711714.81,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17233730.37,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2016,6. Not Observed,6. Não Observado,Não Observado,4560.48,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,1. Forest,1. Floresta,Vegetação Nativa,522636215.88,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,47870804.43,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,3. Farming,3. Agropecuária,Agropecuária,256319898.48,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5860829.32,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17992335.51,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2018,6. Not Observed,6. Não Observado,Não Observado,4525.09,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,1. Forest,1. Floresta,Vegetação Nativa,520556717.73,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,2. Non Forest Natural Formation,2. Formação Natural Não Florestal,Vegetação Nativa,48059060.08,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,3. Farming,3. Agropecuária,Agropecuária,258537951.58,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,4. Non vegetated area,4. Área Não Vegetada,Área Não Vegetada,5943594.89,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,5. Water and Marine Environment,5. Água e Ambiente Marinho,Água,17582669.67,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2019,6. Not Observed,6. Não Observado,Não Observado,4614.76,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
2020,1. Forest,1. Floresta,Vegetação Nativa,518260514.26,Brasil,Brasil (nacional),1,10.1,hectares,SILVER,MAPBIOMAS_USOECOBERTURASOLO_coverage10.1.csv,20260623_222212,2000–2024
