pais,bioma,regiao,estado,uf,codigo_classe,tipo_supressao,tipo_supressao_simples,nivel_0_origem,classe_nivel_1,ano,area_ha,tem_desmatamento,periodo_politica,colecao_mapbiomas,unidade_medida,_camada,_arquivo_origem,_encoding_original,_data_processamento,_periodo_integracao
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2022,120864.676533936,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2022,0.0,False,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2022,164.959743371582,True,4. Alta recente (2019–2022),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2023,49743.8509779907,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2023,0.7949640625,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2023,364.302492120361,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2024,53999.2721019347,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2024,0.884134582519532,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Primária,Desmatamento Primário,Natural,1. Forest,2024,33.7503973815918,True,5. Pós-2023,10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2000,2715.67713516845,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2000,2.81272874145508,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2000,39.6303473266602,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2001,2098.51195955811,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2001,5.5468415222168,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2001,50.4211889221191,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,3,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2002,2302.87980864868,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,4,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2002,0.176151031494141,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
Brasil,Amazônia,Norte,Acre,AC,6,Supressão Veg. Secundária,Desmatamento Secundário,Natural,1. Forest,2002,64.9043502868652,True,1. Pré-PPCDAm (antes 2004),10.1,hectares,SILVER,MAPBIOMAS_DEFORESTATION_STATE.REGION.BIOME.csv,latin-1,20260616_202143,2000–2024
