categoria,ano,emissao_mt
Producao e uso de CFs,2018,0.0
Producao e uso de HFCs,2018,7.0
Produtos minerais,2018,28.0
Publico,2018,1.0
Queima de residuos agricolas,2018,1.0
Residencial,2018,27.0
Residuos florestais,2018,42.0
Solos manejados,2018,156.0
Transportes,2018,195.0
Tratamento biologico de residuos solidos,2018,0.0
Uso de SF6 em equipamentos eletricos,2018,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2018,1.0
Agropecuaria,2019,20.0
Alteracoes de uso da terra,2019,1266.0
Carbono organico no solo,2019,26.0
Comercial,2019,2.0
Cultivo de arroz,2019,10.0
Disposicao final,2019,60.0
Efluentes domesticos,2019,25.0
Efluentes liquidos industriais,2019,6.0
Fermentacao enterica,2019,367.0
Geracao de eletricidade (servico publico),2019,38.0
Incineracao ou queima a ceu aberto,2019,2.0
Industria Quimica,2019,2.0
Industrial,2019,69.0
Manejo de dejetos animais,2019,27.0
Producao de combustiveis,2019,58.0
Producao de metais,2019,47.0
Producao e uso de CFs,2019,0.0
Producao e uso de HFCs,2019,7.0
Produtos minerais,2019,29.0
Publico,2019,1.0
Queima de residuos agricolas,2019,0.0
Residencial,2019,27.0
Residuos florestais,2019,62.0
Solos manejados,2019,158.0
Transportes,2019,197.0
Tratamento biologico de residuos solidos,2019,0.0
Uso de SF6 em equipamentos eletricos,2019,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2019,1.0
Agropecuaria,2020,21.0
Alteracoes de uso da terra,2020,1243.0
Carbono organico no solo,2020,28.0
Comercial,2020,2.0
Cultivo de arroz,2020,10.0
Disposicao final,2020,60.0
Efluentes domesticos,2020,25.0
Efluentes liquidos industriais,2020,6.0
Fermentacao enterica,2020,372.0
Geracao de eletricidade (servico publico),2020,33.0
Incineracao ou queima a ceu aberto,2020,2.0
Industria Quimica,2020,3.0
Industrial,2020,64.0
Manejo de dejetos animais,2020,27.0
Producao de combustiveis,2020,57.0
Producao de metais,2020,45.0
Producao e uso de CFs,2020,0.0
Producao e uso de HFCs,2020,8.0
Produtos minerais,2020,31.0
Publico,2020,1.0
Queima de residuos agricolas,2020,0.0
Residencial,2020,28.0
Residuos florestais,2020,61.0
Solos manejados,2020,166.0
Transportes,2020,186.0
Tratamento biologico de residuos solidos,2020,0.0
Uso de SF6 em equipamentos eletricos,2020,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2020,1.0
Agropecuaria,2021,21.0
Alteracoes de uso da terra,2021,1358.0
Carbono organico no solo,2021,29.0
Comercial,2021,2.0
Cultivo de arroz,2021,11.0
Disposicao final,2021,61.0
Efluentes domesticos,2021,25.0
Efluentes liquidos industriais,2021,6.0
Fermentacao enterica,2021,383.0
Geracao de eletricidade (servico publico),2021,58.0
Incineracao ou queima a ceu aberto,2021,2.0
Industria Quimica,2021,2.0
Industrial,2021,70.0
Manejo de dejetos animais,2021,28.0
Producao de combustiveis,2021,54.0
Producao de metais,2021,51.0
Producao e uso de CFs,2021,0.0
Producao e uso de HFCs,2021,8.0
Produtos minerais,2021,33.0
Publico,2021,1.0
Queima de residuos agricolas,2021,0.0
Residencial,2021,27.0
Residuos florestais,2021,68.0
Solos manejados,2021,176.0
Transportes,2021,204.0
Tratamento biologico de residuos solidos,2021,0.0
Uso de SF6 em equipamentos eletricos,2021,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2021,1.0
Agropecuaria,2022,21.0
Alteracoes de uso da terra,2022,1419.0
Carbono organico no solo,2022,32.0
Comercial,2022,2.0
Cultivo de arroz,2022,10.0
Disposicao final,2022,61.0
Efluentes domesticos,2022,24.0
Efluentes liquidos industriais,2022,6.0
Fermentacao enterica,2022,399.0
Geracao de eletricidade (servico publico),2022,22.0
Incineracao ou queima a ceu aberto,2022,2.0
Industria Quimica,2022,2.0
Industrial,2022,71.0
Manejo de dejetos animais,2022,29.0
Producao de combustiveis,2022,54.0
Producao de metais,2022,49.0
Producao e uso de CFs,2022,0.0
Producao e uso de HFCs,2022,9.0
Produtos minerais,2022,30.0
Publico,2022,2.0
Queima de residuos agricolas,2022,0.0
Residencial,2022,27.0
Residuos florestais,2022,71.0
Solos manejados,2022,178.0
Transportes,2022,217.0
Tratamento biologico de residuos solidos,2022,0.0
Uso de SF6 em equipamentos eletricos,2022,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2022,1.0
Agropecuaria,2023,22.0
Alteracoes de uso da terra,2023,1243.0
Carbono organico no solo,2023,34.0
Comercial,2023,2.0
Cultivo de arroz,2023,10.0
Disposicao final,2023,62.0
Efluentes domesticos,2023,24.0
Efluentes liquidos industriais,2023,6.0
Fermentacao enterica,2023,404.0
Geracao de eletricidade (servico publico),2023,22.0
Incineracao ou queima a ceu aberto,2023,2.0
Industria Quimica,2023,2.0
Industrial,2023,69.0
Manejo de dejetos animais,2023,29.0
Producao de combustiveis,2023,54.0
Producao de metais,2023,47.0
Producao e uso de CFs,2023,0.0
Producao e uso de HFCs,2023,9.0
Produtos minerais,2023,30.0
Publico,2023,2.0
Queima de residuos agricolas,2023,0.0
Residencial,2023,26.0
Residuos florestais,2023,63.0
Solos manejados,2023,178.0
Transportes,2023,221.0
Tratamento biologico de residuos solidos,2023,0.0
Uso de SF6 em equipamentos eletricos,2023,0.0
Uso nao-energetico de combustiveis e solventes em outros setores,2023,1.0
