categoria,ano,emissao_mt
Disposicao em aterros controlados ou lixoes,2011,20.6819
Disposicao final em aterros sanitarios,2011,23.255
Exploracao de petroleo e gas natural,2011,19.6828
Ferro gusa e aco,2011,6.5317
Fertilizantes sinteticos nitrogenados,2011,22.3158
Geracao de eletricidade (servico publico),2011,20.0282
Nao ferrosos e outros da metalurgia,2011,9.735
Outras industrias,2011,8.2303
Outras mudancas de uso da terra,2011,23.241
Outros,2011,65.1328
Processo de digestao de animais ruminantes,2011,361.9841
Producao de cal,2011,6.0186
Producao de cimento,2011,22.5106
Producao de ferro gusa e aco,2011,44.5521
Quimica,2011,18.3545
Refino de petroleo,2011,24.7282
Regeneracao,2011,29.6603
Residencial,2011,25.5159
Residuos agricolas,2011,28.7694
Rodoviario,2011,171.706
Tratamento e despejo de efluentes domesticos,2011,22.6817
Tratamento e disposicao de dejetos animais,2011,24.9308
Uso em equipamento ou produto,2011,3.1516
Aereo,2012,11.5381
Agropecuaria,2012,18.3248
Aplicacao de residuos organicos,2012,5.6769
Cimento,2012,15.8839
Corretivo agricola,2012,16.2209
Cultivo em sistema irrigado inundado,2012,10.7487
Deposicao de dejetos em pastagem,2012,61.8972
Desmatamento,2012,819.7247
Disposicao em aterros controlados ou lixoes,2012,20.982
Disposicao final em aterros sanitarios,2012,23.8884
Exploracao de petroleo e gas natural,2012,20.4784
Ferro gusa e aco,2012,6.5715
Fertilizantes sinteticos nitrogenados,2012,22.1153
Geracao de eletricidade (servico publico),2012,35.0605
Nao ferrosos e outros da metalurgia,2012,9.5536
Outras industrias,2012,7.7893
Outras mudancas de uso da terra,2012,35.7169
Outros,2012,64.7211
Processo de digestao de animais ruminantes,2012,360.0503
Producao de cal,2012,6.0808
Producao de cimento,2012,24.4536
Producao de ferro gusa e aco,2012,44.2916
Quimica,2012,16.2828
Refino de petroleo,2012,26.1475
Regeneracao,2012,31.8169
Residencial,2012,25.5867
Residuos agricolas,2012,28.7903
Rodoviario,2012,188.3952
Tratamento e despejo de efluentes domesticos,2012,22.9672
Tratamento e disposicao de dejetos animais,2012,25.0147
Uso em equipamento ou produto,2012,3.642
Aereo,2013,11.0751
Agropecuaria,2013,18.3949
Aplicacao de residuos organicos,2013,5.9567
Cimento,2013,16.428
Corretivo agricola,2013,15.9657
Cultivo em sistema irrigado inundado,2013,10.9508
Deposicao de dejetos em pastagem,2013,61.8769
Desmatamento,2013,934.9543
Disposicao em aterros controlados ou lixoes,2013,19.9725
Disposicao final em aterros sanitarios,2013,27.9028
Exploracao de petroleo e gas natural,2013,20.4888
Ferro gusa e aco,2013,6.6045
Fertilizantes sinteticos nitrogenados,2013,24.7088
Geracao de eletricidade (servico publico),2013,55.5617
Nao ferrosos e outros da metalurgia,2013,9.5983
Outras industrias,2013,8.1467
Outras mudancas de uso da terra,2013,53.5533
Outros,2013,66.3277
Processo de digestao de animais ruminantes,2013,360.7282
Producao de cal,2013,6.16
Producao de cimento,2013,25.8835
Producao de ferro gusa e aco,2013,43.1194
Quimica,2013,15.6651
Refino de petroleo,2013,29.0196
Regeneracao,2013,34.5223
Residencial,2013,25.0868
Residuos agricolas,2013,31.0413
Rodoviario,2013,195.5248
Tratamento e despejo de efluentes domesticos,2013,24.0383
Tratamento e disposicao de dejetos animais,2013,24.8769
Uso em equipamento ou produto,2013,4.1667
Aereo,2014,11.2025
Agropecuaria,2014,19.1298
Aplicacao de residuos organicos,2014,6.0365
Cimento,2014,16.4238
Corretivo agricola,2014,16.8752
Cultivo em sistema irrigado inundado,2014,11.3245
Deposicao de dejetos em pastagem,2014,62.1383
Desmatamento,2014,863.2823
Disposicao em aterros controlados ou lixoes,2014,19.3516
Disposicao final em aterros sanitarios,2014,31.1198
Exploracao de petroleo e gas natural,2014,22.8438
Ferro gusa e aco,2014,6.2812
Fertilizantes sinteticos nitrogenados,2014,25.0408
Geracao de eletricidade (servico publico),2014,70.1453
Nao ferrosos e outros da metalurgia,2014,9.9902
Outras industrias,2014,8.3152
Outras mudancas de uso da terra,2014,55.3841
Outros,2014,66.8811
Processo de digestao de animais ruminantes,2014,362.1498
Producao de cal,2014,5.9629
Producao de cimento,2014,26.4932
Producao de ferro gusa e aco,2014,41.3122
Quimica,2014,15.0706
Refino de petroleo,2014,30.8136
Regeneracao,2014,27.0855
Residencial,2014,25.5592
Residuos agricolas,2014,31.7016
Rodoviario,2014,200.2205
Tratamento e despejo de efluentes domesticos,2014,24.2352
Tratamento e disposicao de dejetos animais,2014,25.4362
Uso em equipamento ou produto,2014,4.6763
Aereo,2015,11.0495
Agropecuaria,2015,19.2917
Aplicacao de residuos organicos,2015,6.0787
Cimento,2015,14.7289
Corretivo agricola,2015,14.6162
Cultivo em sistema irrigado inundado,2015,11.9069
Deposicao de dejetos em pastagem,2015,62.3799
Desmatamento,2015,986.6813
Disposicao em aterros controlados ou lixoes,2015,18.5782
Disposicao final em aterros sanitarios,2015,35.3665
Exploracao de petroleo e gas natural,2015,22.7113
Ferro gusa e aco,2015,6.2321
Fertilizantes sinteticos nitrogenados,2015,22.8076
Geracao de eletricidade (servico publico),2015,65.6265
Nao ferrosos e outros da metalurgia,2015,8.9961
Outras industrias,2015,7.3475
Outras mudancas de uso da terra,2015,60.0777
Outros,2015,64.3236
Processo de digestao de animais ruminantes,2015,368.9896
Producao de cal,2015,6.0711
Producao de cimento,2015,24.1458
Producao de ferro gusa e aco,2015,43.4325
Quimica,2015,15.4662
Refino de petroleo,2015,29.8598
Regeneracao,2015,29.4856
Residencial,2015,25.845
Residuos agricolas,2015,33.312
Rodoviario,2015,186.7416
Tratamento e despejo de efluentes domesticos,2015,24.4008
Tratamento e disposicao de dejetos animais,2015,26.1979
Uso em equipamento ou produto,2015,5.0671
Aereo,2016,10.1107
Agropecuaria,2016,18.8459
Aplicacao de residuos organicos,2016,5.961
Cimento,2016,12.7735
Corretivo agricola,2016,15.8549
Cultivo em sistema irrigado inundado,2016,10.9296
Deposicao de dejetos em pastagem,2016,62.6979
Desmatamento,2016,993.6139
Disposicao em aterros controlados ou lixoes,2016,17.9008
Disposicao final em aterros sanitarios,2016,38.878
Exploracao de petroleo e gas natural,2016,22.4225
Ferro gusa e aco,2016,5.7768
Fertilizantes sinteticos nitrogenados,2016,29.5824
Geracao de eletricidade (servico publico),2016,42.8584
Nao ferrosos e outros da metalurgia,2016,8.9768
Outras industrias,2016,6.382
Outras mudancas de uso da terra,2016,42.891
Outros,2016,61.8614
Processo de digestao de animais ruminantes,2016,374.3588
Producao de cal,2016,6.0711
Producao de cimento,2016,21.5711
Producao de ferro gusa e aco,2016,43.8515
Quimica,2016,15.0904
Refino de petroleo,2016,28.6758
Regeneracao,2016,26.165
Residencial,2016,25.6974
Residuos agricolas,2016,31.7493
Rodoviario,2016,185.784
Tratamento e despejo de efluentes domesticos,2016,24.5893
Tratamento e disposicao de dejetos animais,2016,26.4488
Uso em equipamento ou produto,2016,5.3774
Aereo,2017,10.074
Agropecuaria,2017,20.2561
Aplicacao de residuos organicos,2017,6.0708
Cimento,2017,12.0974
Corretivo agricola,2017,17.6065
Cultivo em sistema irrigado inundado,2017,11.774
Deposicao de dejetos em pastagem,2017,60.8836
Desmatamento,2017,866.2802
Disposicao em aterros controlados ou lixoes,2017,16.9429
Disposicao final em aterros sanitarios,2017,40.6201
Exploracao de petroleo e gas natural,2017,22.5664
Ferro gusa e aco,2017,8.0984
Fertilizantes sinteticos nitrogenados,2017,29.8253
Geracao de eletricidade (servico publico),2017,45.262
Nao ferrosos e outros da metalurgia,2017,9.0066
Outras industrias,2017,6.1862
Outras mudancas de uso da terra,2017,43.167
Outros,2017,61.558
Processo de digestao de animais ruminantes,2017,367.561
Producao de cal,2017,6.0719
Producao de cimento,2017,20.0295
Producao de ferro gusa e aco,2017,44.8734
Quimica,2017,15.953
Refino de petroleo,2017,28.74
Regeneracao,2017,28.3029
Residencial,2017,26.3264
Residuos agricolas,2017,36.0688
Rodoviario,2017,187.3388
Tratamento e despejo de efluentes domesticos,2017,24.7615
Tratamento e disposicao de dejetos animais,2017,26.759
Uso em equipamento ou produto,2017,5.9185
Aereo,2018,10.3448
Agropecuaria,2018,19.8448
Aplicacao de residuos organicos,2018,6.1936
Cimento,2018,12.036
Corretivo agricola,2018,20.468
Cultivo em sistema irrigado inundado,2018,11.3223
Deposicao de dejetos em pastagem,2018,60.4309
Desmatamento,2018,889.4921
Disposicao em aterros controlados ou lixoes,2018,16.1124
Disposicao final em aterros sanitarios,2018,43.1004
Exploracao de petroleo e gas natural,2018,22.3159
Ferro gusa e aco,2018,8.0842
Fertilizantes sinteticos nitrogenados,2018,29.145
Geracao de eletricidade (servico publico),2018,36.4891
Nao ferrosos e outros da metalurgia,2018,6.2394
Outras industrias,2018,6.1246
Outras mudancas de uso da terra,2018,36.85
Outros,2018,63.865
Processo de digestao de animais ruminantes,2018,365.415
Producao de cal,2018,6.0712
Producao de cimento,2018,19.8806
Producao de ferro gusa e aco,2018,45.685
Quimica,2018,15.2704
Refino de petroleo,2018,27.3206
Regeneracao,2018,30.1962
Residencial,2018,27.104
Residuos agricolas,2018,35.0693
Rodoviario,2018,176.8331
Tratamento e despejo de efluentes domesticos,2018,24.8723
Tratamento e disposicao de dejetos animais,2018,26.8491
Uso em equipamento ou produto,2018,6.3691
Aereo,2019,10.1137
Agropecuaria,2019,20.2133
Aplicacao de residuos organicos,2019,6.3629
Cimento,2019,12.2863
Corretivo agricola,2019,20.6523
Cultivo em sistema irrigado inundado,2019,10.4525
Deposicao de dejetos em pastagem,2019,60.5559
Desmatamento,2019,1289.4613
Disposicao em aterros controlados ou lixoes,2019,15.4189
Disposicao final em aterros sanitarios,2019,44.7464
Exploracao de petroleo e gas natural,2019,23.5526
Ferro gusa e aco,2019,7.7961
Fertilizantes sinteticos nitrogenados,2019,29.3433
Geracao de eletricidade (servico publico),2019,38.3677
Nao ferrosos e outros da metalurgia,2019,6.7062
Outras industrias,2019,5.5179
Outras mudancas de uso da terra,2019,37.0523
Outros,2019,62.1344
Processo de digestao de animais ruminantes,2019,366.8423
Producao de cal,2019,5.9249
Producao de cimento,2019,20.9965
Producao de ferro gusa e aco,2019,42.0233
Quimica,2019,15.1519
Refino de petroleo,2019,27.4508
Regeneracao,2019,26.4279
Residencial,2019,26.8249
Residuos agricolas,2019,36.3352
Rodoviario,2019,179.1645
Tratamento e despejo de efluentes domesticos,2019,25.1798
Tratamento e disposicao de dejetos animais,2019,26.9084
Uso em equipamento ou produto,2019,6.8197
Aereo,2020,5.8129
Agropecuaria,2020,20.5356
Aplicacao de residuos organicos,2020,6.4761
Cimento,2020,13.6017
Corretivo agricola,2020,21.608
Cultivo em sistema irrigado inundado,2020,10.3696
Deposicao de dejetos em pastagem,2020,61.1969
Desmatamento,2020,1281.7209
Disposicao em aterros controlados ou lixoes,2020,14.8671
Disposicao final em aterros sanitarios,2020,45.4489
Exploracao de petroleo e gas natural,2020,23.3618
Ferro gusa e aco,2020,7.4462
Fertilizantes sinteticos nitrogenados,2020,34.6677
Geracao de eletricidade (servico publico),2020,33.1787
Nao ferrosos e outros da metalurgia,2020,7.0898
Outras industrias,2020,4.2849
Outras mudancas de uso da terra,2020,28.1543
Outros,2020,58.8953
Processo de digestao de animais ruminantes,2020,371.978
