categoria,ano,emissao_mt
Parana,2011,71.0
Pernambuco,2011,25.0
Piaui,2011,23.0
Rio Grande do Norte,2011,11.0
Rio Grande do Sul,2011,108.0
Rio de Janeiro,2011,70.0
Rondonia,2011,102.0
Roraima,2011,12.0
Santa Catarina,2011,45.0
Sao Paulo,2011,164.0
Sergipe,2011,9.0
Tocantins,2011,52.0
Acre,2012,27.0
Alagoas,2012,8.0
Amapa,2012,4.0
Amazonas,2012,45.0
Bahia,2012,106.0
Ceara,2012,29.0
Distrito Federal,2012,8.0
Espirito Santo,2012,32.0
Goias,2012,90.0
Maranhao,2012,119.0
Mato Grosso,2012,212.0
Mato Grosso do Sul,2012,73.0
Minas Gerais,2012,185.0
Nao Alocado,2012,62.0
Para,2012,268.0
Paraiba,2012,12.0
Parana,2012,75.0
Pernambuco,2012,25.0
Piaui,2012,42.0
Rio Grande do Norte,2012,12.0
Rio Grande do Sul,2012,109.0
Rio de Janeiro,2012,76.0
Rondonia,2012,88.0
Roraima,2012,14.0
Santa Catarina,2012,48.0
Sao Paulo,2012,167.0
Sergipe,2012,9.0
Tocantins,2012,63.0
Acre,2013,31.0
Alagoas,2013,8.0
Amapa,2013,4.0
Amazonas,2013,55.0
Bahia,2013,113.0
Ceara,2013,32.0
Distrito Federal,2013,8.0
Espirito Santo,2013,34.0
Goias,2013,93.0
Maranhao,2013,116.0
Mato Grosso,2013,262.0
Mato Grosso do Sul,2013,76.0
Minas Gerais,2013,191.0
Nao Alocado,2013,63.0
Para,2013,302.0
Paraiba,2013,12.0
Parana,2013,80.0
Pernambuco,2013,25.0
Piaui,2013,35.0
Rio Grande do Norte,2013,13.0
Rio Grande do Sul,2013,124.0
Rio de Janeiro,2013,79.0
Rondonia,2013,98.0
Roraima,2013,22.0
Santa Catarina,2013,51.0
Sao Paulo,2013,172.0
Sergipe,2013,10.0
Tocantins,2013,79.0
Acre,2014,33.0
Alagoas,2014,8.0
Amapa,2014,5.0
Amazonas,2014,56.0
Bahia,2014,104.0
Ceara,2014,35.0
Distrito Federal,2014,9.0
Espirito Santo,2014,35.0
Goias,2014,94.0
Maranhao,2014,112.0
Mato Grosso,2014,240.0
Mato Grosso do Sul,2014,75.0
Minas Gerais,2014,187.0
Nao Alocado,2014,74.0
Para,2014,296.0
Paraiba,2014,13.0
Parana,2014,80.0
Pernambuco,2014,27.0
Piaui,2014,33.0
Rio Grande do Norte,2014,14.0
Rio Grande do Sul,2014,110.0
Rio de Janeiro,2014,77.0
Rondonia,2014,99.0
Roraima,2014,28.0
Santa Catarina,2014,52.0
Sao Paulo,2014,167.0
Sergipe,2014,10.0
Tocantins,2014,70.0
Acre,2015,36.0
Alagoas,2015,8.0
Amapa,2015,4.0
Amazonas,2015,79.0
Bahia,2015,96.0
Ceara,2015,35.0
Distrito Federal,2015,9.0
Espirito Santo,2015,37.0
Goias,2015,93.0
Maranhao,2015,124.0
Mato Grosso,2015,261.0
Mato Grosso do Sul,2015,75.0
Minas Gerais,2015,178.0
Nao Alocado,2015,73.0
Para,2015,341.0
Paraiba,2015,14.0
Parana,2015,79.0
Pernambuco,2015,27.0
Piaui,2015,31.0
Rio Grande do Norte,2015,13.0
Rio Grande do Sul,2015,112.0
Rio de Janeiro,2015,77.0
Rondonia,2015,129.0
Roraima,2015,35.0
Santa Catarina,2015,50.0
Sao Paulo,2015,159.0
Sergipe,2015,10.0
Tocantins,2015,71.0
Acre,2016,33.0
Alagoas,2016,9.0
Amapa,2016,7.0
Amazonas,2016,107.0
Bahia,2016,88.0
Ceara,2016,33.0
Distrito Federal,2016,8.0
Espirito Santo,2016,35.0
Goias,2016,90.0
