categoria,ano,valor_mt
Outras materias primas e industrias,2022,36.0
Outros (geral),2022,27.0
Pecuaria,2022,1689.0
Producao Industrial,2022,6.0
Producao de combustiveis,2022,42.0
Quimica,2022,14.0
Saneamento Basico,2022,87.0
Transporte de carga,2022,116.0
Transporte de passageiros,2022,108.0
Vegetacao nativa,2022,18.0
Agricultura,2023,464.0
Agropecuaria (finalidade nao identificada),2023,23.0
Cimento,2023,39.0
Edificacoes,2023,32.0
Geracao de eletricidade,2023,38.0
Metalurgia,2023,59.0
Outras materias primas e industrias,2023,35.0
Outros (geral),2023,24.0
Pecuaria,2023,1470.0
Producao Industrial,2023,6.0
Producao de combustiveis,2023,44.0
Quimica,2023,13.0
Saneamento Basico,2023,87.0
Transporte de carga,2023,119.0
Transporte de passageiros,2023,112.0
Vegetacao nativa,2023,14.0
